D_bin,z_bin,median,mean,count
med,far,0.5012133415685662,0.6255974136602497,4
med,mid,0.00422702977418565,0.2520762846425023,6
med,near,0.02579659890862785,0.02787009733490825,8
med,very_far,0.4996792986574178,0.6328654279562411,30
small,far,0.999999996136958,0.999999996136958,2
small,mid,0.9999999922046195,0.9999999914213862,3
small,near,0.9999999858002845,0.9999999836794677,4
small,very_far,0.5005699603672172,0.7329908280155081,15
tiny,far,0.9999999978163383,0.7509219859910611,4
tiny,mid,0.7473799934811538,0.5937562025597658,6
tiny,near,0.999999990674266,0.9328500677480346,8
tiny,very_far,0.8741664819259823,0.7355825502241851,30
