D_frac,D,Lattice,ML
0.0,0.0,6.11656969553739,6.116070708275389
0.013333333333333334,0.006666666666666667,6.117964194452745,6.114748277601386
0.02666666666666667,0.013333333333333334,6.118415139486527,6.1153570692773975
0.04,0.02,6.118686705290463,6.11603555299859
0.05333333333333334,0.02666666666666667,6.11887185198603,6.116800464745595
0.06666666666666667,0.03333333333333333,6.119005868309852,6.116800464745595
0.08,0.04,6.119106368209226,6.117408700547695
0.09333333333333334,0.04666666666666667,6.11918349633771,6.117408700547695
0.10666666666666667,0.05333333333333334,6.119243641946756,6.117644499408245
0.12000000000000001,0.060000000000000005,6.11929108336167,6.117644499408245
0.13333333333333333,0.06666666666666667,6.1193288157093955,6.117644499408245
0.14666666666666667,0.07333333333333333,6.119359007383534,6.116101350755486
0.16,0.08,6.1193832696807675,6.118677949971816
0.17333333333333334,0.08666666666666667,6.119402824872786,6.118677949971816
0.18666666666666668,0.09333333333333334,6.1194186156012105,6.118677949971816
0.2,0.1,6.119431378659838,6.119004455967078
