D_frac,D,Lattice,ML,ML_mono
0.0,0.0,6.11656969553739,6.116070708275389,6.115392018384725
0.0133333333333333,0.0066666666666666,6.117964194452745,6.114748277601386,6.115392018384725
0.0266666666666666,0.0133333333333333,6.118415139486527,6.1153570692773975,6.115392018384725
0.04,0.02,6.118686705290463,6.11603555299859,6.11603555299859
0.0533333333333333,0.0266666666666666,6.11887185198603,6.116800464745595,6.116800464745595
0.0666666666666666,0.0333333333333333,6.119005868309852,6.116800464745595,6.116800464745595
0.08,0.04,6.119106368209226,6.117408700547695,6.117308708345935
0.0933333333333333,0.0466666666666666,6.11918349633771,6.117408700547695,6.117308708345935
0.1066666666666666,0.0533333333333333,6.119243641946756,6.117644499408245,6.117308708345935
0.12,0.06,6.11929108336167,6.117644499408245,6.117308708345935
0.1333333333333333,0.0666666666666666,6.1193288157093955,6.117644499408245,6.117308708345935
0.1466666666666666,0.0733333333333333,6.119359007383534,6.116101350755486,6.117308708345935
0.16,0.08,6.1193832696807675,6.118677949971816,6.118677949971816
0.1733333333333333,0.0866666666666666,6.119402824872786,6.118677949971816,6.118677949971816
0.1866666666666666,0.0933333333333333,6.1194186156012105,6.118677949971816,6.118677949971816
0.2,0.1,6.119431378659838,6.119004455967078,6.119004455967078
