section,metric,value
ML_OOF_raw,rows,3000
ML_OOF_raw,MAE,7.96886815644756
ML_OOF_raw,RMSE,22.23206264284545
ML_OOF_raw,RelMAE_vsVanilla,0.015326077315813317
ML_OOF_raw,Monotone_viols_Brel,421
ML_OOF_raw,Monotone_checks_Brel,500
ML_OOF_raw,Monotone_rate_Brel,0.842
ML_OOF_raw,Monotone_viols_Dfrac,510
ML_OOF_raw,Monotone_checks_Dfrac,600
ML_OOF_raw,Monotone_rate_Dfrac,0.85
ML_OOF_raw,Monotone_viols_Krel,3
ML_OOF_raw,Monotone_checks_Krel,600
ML_OOF_raw,Monotone_rate_Krel,0.005
ML_OOF_mono,rows,3000
ML_OOF_mono,MAE,7.921623282437132
ML_OOF_mono,RMSE,22.083741784100233
ML_OOF_mono,RelMAE_vsVanilla,0.01465349657429672
ML_OOF_mono,Monotone_viols_Brel,0
ML_OOF_mono,Monotone_checks_Brel,500
ML_OOF_mono,Monotone_rate_Brel,0.0
ML_OOF_mono,Monotone_viols_Dfrac,0
ML_OOF_mono,Monotone_checks_Dfrac,600
ML_OOF_mono,Monotone_rate_Dfrac,0.0
ML_OOF_mono,Monotone_viols_Krel,0
ML_OOF_mono,Monotone_checks_Krel,600
ML_OOF_mono,Monotone_rate_Krel,0.0
ML_CV_dataset,rows,3000
ML_CV_dataset,MAE,6.306275448777966
ML_CV_dataset,RMSE,17.713443260720965
ML_CV_dataset,RelMAE_vsVanilla,0.01167771777830182
ML_CV_dataset,pred_col,Pred_OUT
ML_CV_dataset,Monotone_viols_Brel,0
ML_CV_dataset,Monotone_checks_Brel,500
ML_CV_dataset,Monotone_rate_Brel,0.0
ML_CV_dataset,Monotone_viols_Dfrac,0
ML_CV_dataset,Monotone_checks_Dfrac,600
ML_CV_dataset,Monotone_rate_Dfrac,0.0
ML_CV_dataset,Monotone_viols_Krel,0
ML_CV_dataset,Monotone_checks_Krel,600
ML_CV_dataset,Monotone_rate_Krel,0.0
Sweep_D,rows,16
Sweep_D,MAE_bps,17.474289514880503
Sweep_D,MaxAbs_bps,30.231211018021398
CJY_vs_Lattice,rows,120
CJY_vs_Lattice,relerr_median,0.5005699604660556
CJY_vs_Lattice,relerr_mean,0.6609594625781978
CJY_vs_Lattice,relerr_p95,0.9999999999425281
CJY_vs_Lattice,aw_steh_median,1712254.572089858
CJY_vs_Lattice,aw_steh_mean,786842176.7607839
MC_convergence,rows,5
MC_convergence,lastN,50000
MC_convergence,MAE_bps,12.0926082603458
MC_varred,best_method,+ CV(vanilla)
MC_varred,best_SE,0.0003868131395063
MC_bias_vs_steps,min_abs_bias_bps,11.160017133891
MC_bias_vs_steps,config,grid / BB off
