S0,K,B,T,D,sigma,Vanilla,LAT_OUT,Pred_OUT_mono,AbsErr_bps
5363.33,4290.664,4290.664,1.0,0.01,0.3,1208.1984226253962,1080.646096518322,814.2416274622486,2664044.690560735
5363.33,4290.664,4826.997,0.25,0.0025,0.25,1084.884189851245,891.1128954993756,649.0729347387498,2420399.6076062573
5363.33,4290.664,5202.4301,0.0833333333333333,0.0008333333333333,0.25,1071.876580406543,510.8921280905889,292.50143837951106,2183906.897110779
5363.33,4290.664,4826.997,1.0,0.01,0.2,1084.451672054549,758.381069681968,574.1934147442269,1841876.5493774116
5363.33,4290.664,4826.997,0.5,0.005,0.2,1096.822321214241,887.0137737139713,713.0639207190585,1739498.5299491282
5363.33,4290.664,4826.997,0.25,0.005,0.25,1084.884189851245,907.6086097360052,737.8869384653536,1697216.7127065153
5363.33,4290.664,5202.4301,0.0833333333333333,0.0016666666666666,0.2,1071.786662905855,600.486899946677,450.0375411613754,1504493.5878530163
5363.33,4290.664,4826.997,0.5,0.01,0.2,1096.822321214241,905.2991336934862,757.3491131049161,1479500.2058857006
5363.33,4290.664,5202.4301,0.0833333333333333,0.0041666666666666,0.25,1071.876580406543,596.0731177075934,461.85140009110984,1342217.1761648355
5363.33,4290.664,5202.4301,0.25,0.0025,0.25,1084.884189851245,411.7810590632,543.6991152102768,1319180.5614707675
5363.33,4290.664,4826.997,0.5,0.005,0.25,1120.608468981051,828.4697292875143,697.2916933962458,1311780.3589126845
5363.33,4290.664,4826.997,1.0,0.01,0.15,1042.6356684926077,802.1448832050249,673.2596700257856,1288852.1317923937
5363.33,4290.664,4826.997,0.25,0.005,0.3,1097.249956163757,873.2056212656156,744.512195814674,1286934.2545094162
5363.33,4290.664,4826.997,0.25,0.0125,0.25,1084.884189851245,938.8296212494156,813.3961905121719,1254334.3073724373
5363.33,4290.664,5202.4301,0.0833333333333333,0.0008333333333333,0.2,1071.786662905855,574.8503431692053,450.0375411613754,1248128.0200782993
5363.33,4290.664,4826.997,0.25,0.0025,0.3,1097.249956163757,852.4501200049056,729.1202067257376,1233299.1327916796
5363.33,4290.664,5202.4301,0.0833333333333333,0.0016666666666666,0.25,1071.876580406543,539.5805943011484,417.807196913621,1217733.9738752737
5363.33,4290.664,4290.664,1.0,0.02,0.3,1208.1984226253962,1096.288134898,975.9209294486916,1203672.0544930836
5363.33,4290.664,5202.4301,0.25,0.005,0.25,1084.884189851245,449.3417296499403,568.3380170846253,1189962.8743468502
5363.33,4290.664,4826.997,0.5,0.025,0.2,1096.822321214241,939.7422471786718,822.7091458079739,1170331.0137069798
