K_rel,Lattice,ML,ML_mono
0.8,20.98988782994601,21.010572707020252,21.010572707020252
0.8266666666666667,18.573138887303784,18.566926944367196,18.566926944367196
0.8533333333333334,16.238642084234886,16.251686817390276,16.251686817390276
0.88,14.01974790781454,14.02448615096945,14.02448615096945
0.9066666666666667,11.944777186627256,11.94694658876451,11.94694658876451
0.9333333333333333,10.042522720928025,10.041197945509081,10.041197945509081
0.96,8.323706829986978,8.267390748777594,8.267390748777594
0.9866666666666667,6.80615380692023,6.757963850912896,6.757963850912896
1.0133333333333334,5.486156379190299,5.485317904486053,5.485317904486053
1.04,4.359831371599569,4.359653335842366,4.359653335842366
1.0666666666666667,3.4168824506360855,3.4173590430255243,3.4173590430255243
1.0933333333333333,2.641937454748281,2.6426075032653236,2.6426075032653236
1.12,2.0162258344052675,2.016610039245732,2.016610039245732
1.1466666666666667,1.5193277310386046,1.519243363864805,1.519243363864805
1.1733333333333333,1.1307517953265378,1.1303253157104887,1.1303253157104887
1.2,0.8311711342980821,0.8310270340969705,0.8310270340969705
